copy and paste JSON data,,,,,,,,add manually,automatic calculation,,,,,,,,num,start,end,opening hours,closing hours,stage,weapon 1,weapon 2,weapon 3,weapon 4,rare wepon,weapon set type,weapons text
11,1502085600,1502172000,1,5000,2060,1110,4010,,0,0,5000,2060,1110,4010,0,0,12,2017/08/09 9:00,2017/08/10 9:00,24,18,難破船ドン･ブラコ,ヴァリアブルローラー,プライムシューター,プロモデラーMG,ジェットスイーパー,,普通編成,"ヴァリアブルローラー,プライムシューター,プロモデラーMG,ジェットスイーパー"
12,1502236800,1502323200,2,1030,70,30,90,,0,1,1030,70,30,90,0,0,13,2017/08/11 3:00,2017/08/12 3:00,24,18,シェケナダム,ボールドマーカー,スプラチャージャー,.96ガロン,スプラスピナー,,普通編成,"ボールドマーカー,スプラチャージャー,.96ガロン,スプラスピナー"
13,1502388000,1502474400,1,0,2010,80,4000,,0,0,0,2010,80,4000,0,0,14,2017/08/12 21:00,2017/08/14 3:00,30,18,難破船ドン･ブラコ,ヒッセン,スパッタリー,カーボンローラー,バレルスピナー,,普通編成,"ヒッセン,スパッタリー,カーボンローラー,バレルスピナー"
14,1502539200,1502647200,2,3010,5000,1000,4010,,0,1,3010,5000,1000,4010,0,0,15,2017/08/14 21:00,2017/08/15 21:00,24,18,シェケナダム,N-ZAP85,ヴァリアブルローラー,ホクサイ,リッター4K,,普通編成,"N-ZAP85,ヴァリアブルローラー,ホクサイ,リッター4K"
15,1502712000,1502798400,1,60,1030,1110,2030,,0,0,60,1030,1110,2030,0,0,16,2017/08/16 15:00,2017/08/17 15:00,24,18,難破船ドン･ブラコ,スプラシューター,スプラローラー,スプラチャージャー,スプラスピナー,,普通編成,"スプラシューター,スプラローラー,スプラチャージャー,スプラスピナー"
16,1502863200,1502949600,2,40,1010,2010,4000,,0,1,40,1010,2010,4000,0,0,17,2017/08/18 9:00,2017/08/19 9:00,24,18,シェケナダム,プロモデラーMG,パブロ,プライムシューター,バレルスピナー,,普通編成,"プロモデラーMG,パブロ,プライムシューター,バレルスピナー"
17,1503014400,1503100800,1,30,1100,70,4010,,0,0,30,1100,70,4010,0,0,18,2017/08/20 3:00,2017/08/21 9:00,30,18,シェケナダム,わかばシューター,ボールドマーカー,.96ガロン,デュアルスイーパー,,普通編成,"わかばシューター,ボールドマーカー,.96ガロン,デュアルスイーパー"
18,1503165600,1503273600,1,10,0,80,5030,,0,0,10,0,80,5030,0,0,19,2017/08/22 3:00,2017/08/23 3:00,24,18,難破船ドン･ブラコ,バケットスロッシャー,.52ガロン,ホクサイ,ジェットスイーパー,,普通編成,"バケットスロッシャー,.52ガロン,ホクサイ,ジェットスイーパー"
19,1503338400,1503424800,2,3000,50,1110,90,,0,1,3000,50,1110,90,0,0,20,2017/08/23 21:00,2017/08/24 21:00,24,18,シェケナダム,ダイナモローラー,スプラシューター,スプラマニューバー,スプラチャージャー,,普通編成,"ダイナモローラー,スプラシューター,スプラマニューバー,スプラチャージャー"
20,1503489600,1503576000,1,1020,40,5010,2010,,0,0,1020,40,5010,2010,0,0,21,2017/08/25 15:00,2017/08/26 15:00,24,18,シェケナダム,スクイックリンα,クラッシュブラスター,プライムシューター,スパッタリー,,普通編成,"スクイックリンα,クラッシュブラスター,プライムシューター,スパッタリー"
21,1503640800,1503727200,1,2000,230,70,5000,,0,0,2000,230,70,5000,0,0,22,2017/08/27 9:00,2017/08/28 15:00,30,18,海上集落シャケト場,L3リールガン,シャープマーカー,ホットブラスター,スプラチャージャー,,普通編成,"L3リールガン,シャープマーカー,ホットブラスター,スプラチャージャー"
22,1503792000,1503900000,3,300,20,210,2010,,0,2,300,20,210,2010,0,0,23,2017/08/29 9:00,2017/08/30 9:00,24,18,海上集落シャケト場,H3リールガン,N-ZAP85,パブロ,バレルスピナー,,普通編成,"H3リールガン,N-ZAP85,パブロ,バレルスピナー"
23,1503964800,1504051200,3,310,60,1100,4010,,0,2,310,60,1100,4010,0,0,24,2017/08/31 3:00,2017/09/01 3:00,24,18,海上集落シャケト場,ノヴァブラスター,スプラマニューバー,プロモデラーMG,スプラスコープ,,普通編成,"ノヴァブラスター,スプラマニューバー,プロモデラーMG,スプラスコープ"
24,1504116000,1504202400,3,200,5010,30,2020,,0,2,200,5010,30,2020,0,0,25,2017/09/01 21:00,2017/09/02 21:00,24,18,難破船ドン･ブラコ,パラシェルター,シャープマーカー,スプラローラー,スクイックリンα,,普通編成,"パラシェルター,シャープマーカー,スプラローラー,スクイックリンα"
25,1504267200,1504353600,2,6000,20,1010,2000,,0,1,6000,20,1010,2000,0,0,26,2017/09/03 15:00,2017/09/04 21:00,30,18,海上集落シャケト場,スクリュースロッシャー,ラピッドブラスター,スプラシューター,ジェットスイーパー,,普通編成,"スクリュースロッシャー,ラピッドブラスター,スプラシューター,ジェットスイーパー"
26,1504418400,1504526400,3,3020,240,40,90,,0,2,3020,240,40,90,0,0,27,2017/09/05 15:00,2017/09/06 15:00,24,18,シェケナダム,パラシェルター,わかばシューター,プライムシューター,リッター4K,,普通編成,"パラシェルター,わかばシューター,プライムシューター,リッター4K"
27,1504591200,1504677600,1,6000,10,70,2030,,0,0,6000,10,70,2030,0,0,28,2017/09/07 9:00,2017/09/08 9:00,24,18,難破船ドン･ブラコ,ヒッセン,.96ガロン,デュアルスイーパー,スクイックリンα,,普通編成,"ヒッセン,.96ガロン,デュアルスイーパー,スクイックリンα"
28,1504742400,1504828800,2,3010,80,5030,2000,,0,1,3010,80,5030,2000,0,0,29,2017/09/09 3:00,2017/09/10 3:00,24,18,海上集落シャケト場,クラッシュブラスター,ボールドマーカー,バケットスロッシャー,スプラスコープ,,普通編成,"クラッシュブラスター,ボールドマーカー,バケットスロッシャー,スプラスコープ"
29,1504893600,1504980000,3,230,0,3000,2020,,0,2,230,0,3000,2020,0,0,30,2017/09/10 21:00,2017/09/12 3:00,30,18,シェケナダム,ホットブラスター,スプラローラー,スクリュースロッシャー,スプラチャージャー,,普通編成,"ホットブラスター,スプラローラー,スクリュースロッシャー,スプラチャージャー"
30,1505044800,1505152800,1,210,1010,3020,2010,,0,0,210,1010,3020,2010,0,0,31,2017/09/12 21:00,2017/09/13 21:00,24,18,難破船ドン･ブラコ,ノヴァブラスター,パラシェルター,スプラシューター,ジェットスイーパー,,普通編成,"ノヴァブラスター,パラシェルター,スプラシューター,ジェットスイーパー"
31,1505217600,1505304000,2,200,6000,40,90,,0,1,200,6000,40,90,0,0,32,2017/09/14 15:00,2017/09/15 15:00,24,18,海上集落シャケト場,カーボンローラー,スパッタリー,H3リールガン,4Kスコープ,,普通編成,"カーボンローラー,スパッタリー,H3リールガン,4Kスコープ"
32,1505368800,1505455200,3,1000,5000,310,2040,,0,2,1000,5000,310,2040,0,0,33,2017/09/16 9:00,2017/09/17 15:00,30,18,シェケナダム,緑？ (クマサン印のブラスター),緑？ (クマサン印のブラスター),緑？ (クマサン印のブラスター),緑？ (クマサン印のブラスター),クマサン印のブラスター,全緑編成,"緑？ (クマサン印のブラスター),緑？ (クマサン印のブラスター),緑？ (クマサン印のブラスター),緑？ (クマサン印のブラスター)"
33,1505520000,1505628000,1,-1,-1,-1,-1,7000,2,0,8000,8000,8000,8000,4,0,34,2017/09/18 9:00,2017/09/19 9:00,24,18,難破船ドン･ブラコ,わかばシューター,バケットスロッシャー,ヴァリアブルローラー,スクイックリンα,,普通編成,"わかばシューター,バケットスロッシャー,ヴァリアブルローラー,スクイックリンα"
34,1505692800,1505779200,2,10,3000,1030,2000,,0,1,10,3000,1030,2000,0,0,35,2017/09/20 3:00,2017/09/21 3:00,24,18,海上集落シャケト場,パブロ,ラピッドブラスター,N-ZAP85,スプラスコープ,,普通編成,"パブロ,ラピッドブラスター,N-ZAP85,スプラスコープ"
35,1505844000,1505930400,3,1100,240,60,2020,,0,2,1100,240,60,2020,0,0,36,2017/09/21 21:00,2017/09/22 21:00,24,18,シェケナダム,スプラシューター,ダイナモローラー,クラッシュブラスター,スクイックリンα,,普通編成,"スプラシューター,ダイナモローラー,クラッシュブラスター,スクイックリンα"
36,1505995200,1506081600,1,40,1020,230,2000,,0,0,40,1020,230,2000,0,0,37,2017/09/23 15:00,2017/09/24 21:00,30,18,難破船ドン･ブラコ,シャープマーカー,ホットブラスター,ホクサイ,リッター4K,,普通編成,"シャープマーカー,ホットブラスター,ホクサイ,リッター4K"
37,1506146400,1506254400,2,20,210,1110,2030,,0,1,20,210,1110,2030,0,0,38,2017/09/25 15:00,2017/09/26 15:00,24,18,海上集落シャケト場,プロモデラーMG,スプラスピナー,デュアルスイーパー,ソイチューバー,,普通編成,"プロモデラーMG,スプラスピナー,デュアルスイーパー,ソイチューバー"
38,1506319200,1506405600,3,30,4000,5030,2060,,0,2,30,4000,5030,2060,0,0,39,2017/09/27 9:00,2017/09/28 9:00,24,18,シェケナダム,L3リールガン,H3リールガン,.52ガロン,.96ガロン,,普通編成,"L3リールガン,H3リールガン,.52ガロン,.96ガロン"
39,1506470400,1506556800,1,300,310,50,80,,0,0,300,310,50,80,0,0,40,2017/09/29 3:00,2017/09/30 3:00,24,18,難破船ドン･ブラコ,わかばシューター,パラシェルター,ノヴァブラスター,スプラチャージャー,,普通編成,"わかばシューター,パラシェルター,ノヴァブラスター,スプラチャージャー"
40,1506621600,1506708000,2,10,6000,200,2010,,0,1,10,6000,200,2010,0,0,41,2017/09/30 21:00,2017/10/02 3:00,30,18,海上集落シャケト場,クラッシュブラスター,ラピッドブラスター,ヒッセン,バレルスピナー,,普通編成,"クラッシュブラスター,ラピッドブラスター,ヒッセン,バレルスピナー"
41,1506772800,1506880800,3,230,240,3010,4010,,0,2,230,240,3010,4010,0,0,42,2017/10/02 21:00,2017/10/03 21:00,24,18,シェケナダム,ボールドマーカー,スプラマニューバー,バケットスロッシャー,スプラスピナー,,普通編成,"ボールドマーカー,スプラマニューバー,バケットスロッシャー,スプラスピナー"
42,1506945600,1507032000,1,0,5010,3000,4000,,0,0,0,5010,3000,4000,0,0,43,2017/10/04 15:00,2017/10/05 15:00,24,18,難破船ドン･ブラコ,.52ガロン,スプラローラー,スクリュースロッシャー,ジェットスイーパー,,普通編成,".52ガロン,スプラローラー,スクリュースロッシャー,ジェットスイーパー"
43,1507096800,1507183200,2,50,1010,3020,90,,0,1,50,1010,3020,90,0,0,44,2017/10/06 9:00,2017/10/07 9:00,24,18,海上集落シャケト場,N-ZAP85,カーボンローラー,デュアルスイーパー,スプラスコープ,,普通編成,"N-ZAP85,カーボンローラー,デュアルスイーパー,スプラスコープ"
44,1507248000,1507334400,3,60,1000,5030,2020,,0,2,60,1000,5030,2020,0,0,45,2017/10/08 3:00,2017/10/09 9:00,30,18,シェケナダム,ヴァリアブルローラー,スパッタリー,プロモデラーMG,スクイックリンα,,普通編成,"ヴァリアブルローラー,スパッタリー,プロモデラーMG,スクイックリンα"
45,1507399200,1507507200,1,1030,5000,30,2000,,0,0,1030,5000,30,2000,0,0,46,2017/10/10 3:00,2017/10/11 3:00,24,18,難破船ドン･ブラコ,クラッシュブラスター,ノヴァブラスター,ホットブラスター,ラピッドブラスター,,普通編成,"クラッシュブラスター,ノヴァブラスター,ホットブラスター,ラピッドブラスター"
46,1507572000,1507658400,2,230,200,210,240,,0,1,230,200,210,240,0,0,47,2017/10/11 21:00,2017/10/12 21:00,24,18,海上集落シャケト場,シャープマーカー,パブロ,プライムシューター,スプラチャージャー,,普通編成,"シャープマーカー,パブロ,プライムシューター,スプラチャージャー"
47,1507723200,1507809600,3,20,1100,70,2010,,0,2,20,1100,70,2010,0,0,48,2017/10/13 15:00,2017/10/14 15:00,24,18,シェケナダム,ホクサイ,スプラシューター,パラシェルター,4Kスコープ,,普通編成,"ホクサイ,スプラシューター,パラシェルター,4Kスコープ"
48,1507874400,1507960800,1,1110,40,6000,2040,,0,0,1110,40,6000,2040,0,0,49,2017/10/15 9:00,2017/10/16 15:00,30,18,難破船ドン･ブラコ,緑？ (クマサン印のシェルター),緑？ (クマサン印のシェルター),緑？ (クマサン印のシェルター),緑？ (クマサン印のシェルター),クマサン印のシェルター,全緑編成,"緑？ (クマサン印のシェルター),緑？ (クマサン印のシェルター),緑？ (クマサン印のシェルター),緑？ (クマサン印のシェルター)"
49,1508025600,1508133600,2,-1,-1,-1,-1,7010,2,1,8010,8010,8010,8010,4,0,50,2017/10/17 9:00,2017/10/18 9:00,24,18,海上集落シャケト場,わかばシューター,ヒッセン,ホットブラスター,.96ガロン,,普通編成,"わかばシューター,ヒッセン,ホットブラスター,.96ガロン"
50,1508198400,1508284800,3,10,3010,210,80,,0,2,10,3010,210,80,0,0,51,2017/10/19 3:00,2017/10/20 3:00,24,18,シェケナダム,L3リールガン,スプラスピナー,スクリュースロッシャー,スクイックリンα,,普通編成,"L3リールガン,スプラスピナー,スクリュースロッシャー,スクイックリンα"
51,1508349600,1508436000,1,300,4000,3020,2000,,0,0,300,4000,3020,2000,0,0,52,2017/10/20 21:00,2017/10/22 3:00,30,18,難破船ドン･ブラコ,キャンピングシェルター,ボールドマーカー,.52ガロン,バレルスピナー,,普通編成,"キャンピングシェルター,ボールドマーカー,.52ガロン,バレルスピナー"
52,1508500800,1508608800,2,6010,0,50,4010,,0,1,6010,0,50,4010,0,0,53,2017/10/22 21:00,2017/10/23 21:00,24,18,海上集落シャケト場,プロモデラーMG,スプラローラー,ラピッドブラスター,緑？ (クマサン印のブラスター),クマサン印のブラスター,一緑編成,"プロモデラーMG,スプラローラー,ラピッドブラスター,緑？ (クマサン印のブラスター)"
53,1508673600,1508760000,3,30,1010,240,-1,7000,1,2,30,1010,240,8000,1,0,54,2017/10/24 15:00,2017/10/25 15:00,24,18,シェケナダム,Rブラスターエリート,スプラマニューバー,バケットスロッシャー,スプラチャージャー,,普通編成,"Rブラスターエリート,スプラマニューバー,バケットスロッシャー,スプラチャージャー"
54,1508824800,1508911200,1,250,5010,3000,2010,,0,0,250,5010,3000,2010,0,0,55,2017/10/26 9:00,2017/10/27 9:00,24,18,難破船ドン･ブラコ,プライムシューター,デュアルスイーパー,ジェットスイーパー,リッター4K,,普通編成,"プライムシューター,デュアルスイーパー,ジェットスイーパー,リッター4K"
55,1508976000,1509062400,2,70,5030,90,2030,,0,1,70,5030,90,2030,0,0,56,2017/10/28 3:00,2017/10/29 9:00,30,18,海上集落シャケト場,14式竹筒銃・甲,スパッタリー,パラシェルター,バレルスピナー,,普通編成,"14式竹筒銃・甲,スパッタリー,パラシェルター,バレルスピナー"
56,1509127200,1509235200,3,2050,5000,6000,4010,,0,2,2050,5000,6000,4010,0,0,57,2017/10/30 3:00,2017/10/31 3:00,24,18,シェケナダム,カーボンローラー,ヒッセン,ホットブラスター,.96ガロン,,普通編成,"カーボンローラー,ヒッセン,ホットブラスター,.96ガロン"
57,1509300000,1509386400,1,1000,3010,210,80,,0,0,1000,3010,210,80,0,0,58,2017/10/31 21:00,2017/11/01 21:00,24,18,難破船ドン･ブラコ,N-ZAP85,ノヴァブラスター,ヴァリアブルローラー,スプラスコープ,,普通編成,"N-ZAP85,ノヴァブラスター,ヴァリアブルローラー,スプラスコープ"
58,1509451200,1509537600,2,60,200,1030,2020,,0,1,60,200,1030,2020,0,0,59,2017/11/02 15:00,2017/11/03 15:00,24,18,海上集落シャケト場,ダイナモローラー,スプラシューター,パブロ,スクイックリンα,,普通編成,"ダイナモローラー,スプラシューター,パブロ,スクイックリンα"
59,1509602400,1509688800,3,1020,40,1100,2000,,0,2,1020,40,1100,2000,0,0,60,2017/11/04 9:00,2017/11/05 15:00,30,18,シェケナダム,ロングブラスター,シャープマーカー,バケットスロッシャー,デュアルスイーパー,,普通編成,"ロングブラスター,シャープマーカー,バケットスロッシャー,デュアルスイーパー"
60,1509753600,1509861600,1,220,20,3000,5030,,0,0,220,20,3000,5030,0,0,61,2017/11/06 9:00,2017/11/07 9:00,24,18,難破船ドン･ブラコ,わかばシューター,スクリュースロッシャー,スプラローラー,ソイチューバー,,普通編成,"わかばシューター,スクリュースロッシャー,スプラローラー,ソイチューバー"
61,1509926400,1510012800,2,10,3020,1010,2060,,0,1,10,3020,1010,2060,0,0,62,2017/11/08 3:00,2017/11/09 3:00,24,18,海上集落シャケト場,ホクサイ,スプラスピナー,.96ガロン,ジェットスイーパー,,普通編成,"ホクサイ,スプラスピナー,.96ガロン,ジェットスイーパー"
62,1510077600,1510164000,3,1110,4000,80,90,,0,2,1110,4000,80,90,0,0,63,2017/11/09 21:00,2017/11/10 21:00,24,18,シェケナダム,.52ガロン,L3リールガン,14式竹筒銃・甲,緑？ (クマサン印のシェルター),クマサン印のシェルター,一緑編成,".52ガロン,L3リールガン,14式竹筒銃・甲,緑？ (クマサン印のシェルター)"
63,1510228800,1510315200,1,50,300,2050,-1,7010,1,0,50,300,2050,8010,1,0,64,2017/11/11 15:00,2017/11/12 21:00,30,18,難破船ドン･ブラコ,バケットスロッシャー,ボールドマーカー,キャンピングシェルター,ラピッドブラスター,,普通編成,"バケットスロッシャー,ボールドマーカー,キャンピングシェルター,ラピッドブラスター"
64,1510380000,1510488000,2,3000,0,6010,240,,0,1,3000,0,6010,240,0,0,65,2017/11/13 15:00,2017/11/14 15:00,24,18,海上集落シャケト場,プロモデラーMG,H3リールガン,パラシェルター,スプラチャージャー,,普通編成,"プロモデラーMG,H3リールガン,パラシェルター,スプラチャージャー"
65,1510552800,1510639200,3,30,310,6000,2010,,0,2,30,310,6000,2010,0,0,66,2017/11/15 9:00,2017/11/16 9:00,24,18,シェケナダム,プライムシューター,ホットブラスター,ヴァリアブルローラー,リッター4K,,普通編成,"プライムシューター,ホットブラスター,ヴァリアブルローラー,リッター4K"
66,1510704000,1510790400,1,70,210,1030,2030,,0,0,70,210,1030,2030,0,0,67,2017/11/17 3:00,2017/11/18 3:00,24,18,難破船ドン･ブラコ,N-ZAP85,ノヴァブラスター,ヒッセン,バレルスピナー,,普通編成,"N-ZAP85,ノヴァブラスター,ヒッセン,バレルスピナー"
67,1510855200,1510941600,2,60,200,3010,4010,,0,1,60,200,3010,4010,0,0,68,2017/11/18 21:00,2017/11/20 3:00,30,18,海上集落シャケト場,14式竹筒銃・甲,わかばシューター,ロングブラスター,スクイックリンα,,普通編成,"14式竹筒銃・甲,わかばシューター,ロングブラスター,スクイックリンα"
68,1511006400,1511114400,3,2050,10,220,2000,,0,2,2050,10,220,2000,0,0,69,2017/11/20 21:00,2017/11/21 21:00,24,18,シェケナダム,スプラマニューバー,キャンピングシェルター,スプラスピナー,Rブラスターエリート,,普通編成,"スプラマニューバー,キャンピングシェルター,スプラスピナー,Rブラスターエリート"
69,1511179200,1511265600,1,5010,6010,4000,250,,0,0,5010,6010,4000,250,0,0,70,2017/11/22 15:00,2017/11/23 15:00,24,26,難破船ドン･ブラコ,スパッタリー,カーボンローラー,パブロ,.96ガロン,,普通編成,"スパッタリー,カーボンローラー,パブロ,.96ガロン"
70,1511330400,1511416800,2,5000,1000,1100,80,,0,1,5000,1000,1100,80,0,0,71,2017/11/24 17:00,2017/11/25 23:00,30,4,トキシラズいぶし工房,わかばシューター,ヒッセン,デュアルスイーパー,4Kスコープ,,普通編成,"わかばシューター,ヒッセン,デュアルスイーパー,4Kスコープ"
71,1511510400,1511618400,4,10,3010,5030,2040,,0,3,10,3010,5030,2040,0,0,72,2017/11/26 3:00,2017/11/27 9:00,30,18,トキシラズいぶし工房,スプラシューター,ロングブラスター,スクイックリンα,緑？ (クマサン印のブラスター),クマサン印のブラスター,一緑編成,"スプラシューター,ロングブラスター,スクイックリンα,緑？ (クマサン印のブラスター)"
72,1511632800,1511740800,4,40,220,2000,-1,7000,1,3,40,220,2000,8000,1,0,73,2017/11/28 3:00,2017/11/29 3:00,24,60,シェケナダム,プライムシューター,ダイナモローラー,スクリュースロッシャー,スプラチャージャー,,普通編成,"プライムシューター,ダイナモローラー,スクリュースロッシャー,スプラチャージャー"
73,1511805600,1511892000,1,70,1020,3020,2010,,0,0,70,1020,3020,2010,0,0,74,2017/12/01 15:00,2017/12/02 15:00,24,18,難破船ドン･ブラコ,ハイドラント,.52ガロン,ホクサイ,パラシェルター,,普通編成,"ハイドラント,.52ガロン,ホクサイ,パラシェルター"
74,1512108000,1512194400,2,4020,50,1110,6000,,0,1,4020,50,1110,6000,0,0,75,2017/12/03 9:00,2017/12/04 15:00,30,18,海上集落シャケト場,クラッシュブラスター,シャープマーカー,ジェットスイーパー,緑？ (クマサン印のシェルター),クマサン印のシェルター,一緑編成,"クラッシュブラスター,シャープマーカー,ジェットスイーパー,緑？ (クマサン印のシェルター)"
75,1512259200,1512367200,3,230,20,90,-1,7010,1,2,230,20,90,8010,1,0,76,2017/12/05 9:00,2017/12/06 9:00,24,18,トキシラズいぶし工房,ボールドマーカー,ラピッドブラスター,H3リールガン,スプラスコープ,,普通編成,"ボールドマーカー,ラピッドブラスター,H3リールガン,スプラスコープ"
76,1512432000,1512518400,4,0,240,310,2020,,0,3,0,240,310,2020,0,0,77,2017/12/07 3:00,2017/12/08 3:00,24,18,シェケナダム,スプラローラー,N-ZAP85,スプラスピナー,ロングブラスター,,普通編成,"スプラローラー,N-ZAP85,スプラスピナー,ロングブラスター"
77,1512583200,1512669600,1,1010,60,4000,220,,0,0,1010,60,4000,220,0,0,78,2017/12/08 21:00,2017/12/10 3:00,30,18,難破船ドン･ブラコ,ノヴァブラスター,14式竹筒銃・甲,デュアルスイーパー,ハイドラント,,普通編成,"ノヴァブラスター,14式竹筒銃・甲,デュアルスイーパー,ハイドラント"
78,1512734400,1512842400,2,200,2050,5030,4020,,0,1,200,2050,5030,4020,0,0,79,2017/12/10 21:00,2017/12/11 21:00,24,18,海上集落シャケト場,ケルビン525,L3リールガン,バケットスロッシャー,リッター4K,,普通編成,"ケルビン525,L3リールガン,バケットスロッシャー,リッター4K"
79,1512907200,1512993600,3,5020,300,3000,2030,,0,2,5020,300,3000,2030,0,0,80,2017/12/12 15:00,2017/12/13 15:00,24,18,トキシラズいぶし工房,ヴァリアブルローラー,.96ガロン,ヒッセン,スクイックリンα,,普通編成,"ヴァリアブルローラー,.96ガロン,ヒッセン,スクイックリンα"
80,1513058400,1513144800,4,1030,80,3010,2000,,0,3,1030,80,3010,2000,0,0,81,2017/12/14 9:00,2017/12/15 9:00,24,18,シェケナダム,わかばシューター,キャンピングシェルター,パブロ,バレルスピナー,,普通編成,"わかばシューター,キャンピングシェルター,パブロ,バレルスピナー"
81,1513209600,1513296000,1,10,6010,1100,4010,,0,0,10,6010,1100,4010,0,0,82,2017/12/16 3:00,2017/12/17 9:00,30,18,難破船ドン･ブラコ,スプラシューター,スプラマニューバー,Rブラスターエリート,ソイチューバー,,普通編成,"スプラシューター,スプラマニューバー,Rブラスターエリート,ソイチューバー"
82,1513360800,1513468800,2,40,5010,250,2060,,0,1,40,5010,250,2060,0,0,83,2017/12/18 3:00,2017/12/19 3:00,24,18,海上集落シャケト場,スパッタリー,プライムシューター,パラシェルター,ダイナモローラー,,普通編成,"スパッタリー,プライムシューター,パラシェルター,ダイナモローラー"
83,1513533600,1513620000,3,5000,70,6000,1020,,0,2,5000,70,6000,1020,0,0,84,2017/12/19 21:00,2017/12/20 21:00,24,18,トキシラズいぶし工房,シャープマーカー,カーボンローラー,スクリュースロッシャー,スプラスコープ,,普通編成,"シャープマーカー,カーボンローラー,スクリュースロッシャー,スプラスコープ"
84,1513684800,1513771200,4,20,1000,3020,2020,,0,3,20,1000,3020,2020,0,0,85,2017/12/21 15:00,2017/12/22 15:00,24,18,シェケナダム,ボールドマーカー,.52ガロン,ジェットスイーパー,4Kスコープ,,普通編成,"ボールドマーカー,.52ガロン,ジェットスイーパー,4Kスコープ"
85,1513836000,1513922400,1,0,50,90,2040,,0,0,0,50,90,2040,0,0,86,2017/12/23 9:00,2017/12/24 15:00,30,18,難破船ドン･ブラコ,N-ZAP85,ホットブラスター,H3リールガン,デュアルスイーパー,,普通編成,"N-ZAP85,ホットブラスター,H3リールガン,デュアルスイーパー"
86,1513987200,1514095200,2,60,210,310,5030,,0,1,60,210,310,5030,0,0,87,2017/12/25 9:00,2017/12/26 9:00,24,18,シェケナダム,わかばシューター,スプラマニューバー,スプラローラー,スプラチャージャー,,普通編成,"わかばシューター,スプラマニューバー,スプラローラー,スプラチャージャー"
